store_id,d,revenue
CA_1,2011-01-29,10933.16
CA_1,2011-01-30,9787.06
CA_1,2011-01-31,7201.38
CA_1,2011-02-01,7407.74
CA_1,2011-02-02,6566.12
CA_1,2011-02-03,7945.7300000000005
CA_1,2011-02-04,8546.76
CA_1,2011-02-05,13375.4
CA_1,2011-02-06,10591.43
CA_1,2011-02-07,7704.54
CA_1,2011-02-08,7848.65
CA_1,2011-02-09,6937.64
CA_1,2011-02-10,7759.82
CA_1,2011-02-11,8589.23
CA_1,2011-02-12,11516.6
CA_1,2011-02-13,12010.84
CA_1,2011-02-14,7357.19
CA_1,2011-02-15,6376.43
CA_1,2011-02-16,5993.4
CA_1,2011-02-17,5798.32
CA_1,2011-02-18,8667.37
CA_1,2011-02-19,11221.92
CA_1,2011-02-20,10639.78
CA_1,2011-02-21,8847.26
CA_1,2011-02-22,6355.31
CA_1,2011-02-23,6197.29
CA_1,2011-02-24,5991.66
CA_1,2011-02-25,7513.57
CA_1,2011-02-26,9827.54
CA_1,2011-02-27,9947.56
CA_1,2011-02-28,6152.81
CA_1,2011-03-01,7105.39
CA_1,2011-03-02,6679.9400000000005
CA_1,2011-03-03,7233.0
CA_1,2011-03-04,8303.6
CA_1,2011-03-05,10823.55
CA_1,2011-03-06,12041.49
CA_1,2011-03-07,8182.63
CA_1,2011-03-08,7624.81
CA_1,2011-03-09,7082.99
CA_1,2011-03-10,6738.09
CA_1,2011-03-11,8580.3
CA_1,2011-03-12,10785.64
CA_1,2011-03-13,10987.76
CA_1,2011-03-14,7551.39
CA_1,2011-03-15,6341.9800000000005
CA_1,2011-03-16,6861.56
CA_1,2011-03-17,6663.34
CA_1,2011-03-18,7796.06
CA_1,2011-03-19,11266.27
CA_1,2011-03-20,11011.93
CA_1,2011-03-21,7001.74
CA_1,2011-03-22,6609.07
CA_1,2011-03-23,5530.89
CA_1,2011-03-24,6001.02
CA_1,2011-03-25,7554.65
CA_1,2011-03-26,10507.55
CA_1,2011-03-27,10845.91
CA_1,2011-03-28,7193.31
CA_1,2011-03-29,6302.38
CA_1,2011-03-30,5680.53
CA_1,2011-03-31,6717.91
CA_1,2011-04-01,9653.04
CA_1,2011-04-02,11933.93
CA_1,2011-04-03,11937.25
CA_1,2011-04-04,9240.1
CA_1,2011-04-05,7439.11
CA_1,2011-04-06,7200.88
CA_1,2011-04-07,8019.64
CA_1,2011-04-08,8998.74
CA_1,2011-04-09,11294.94
CA_1,2011-04-10,11463.66
CA_1,2011-04-11,8184.35
CA_1,2011-04-12,7134.55
CA_1,2011-04-13,6325.99
CA_1,2011-04-14,6697.65
CA_1,2011-04-15,8403.16
CA_1,2011-04-16,10095.54
CA_1,2011-04-17,10922.0
CA_1,2011-04-18,7876.82
CA_1,2011-04-19,6805.62
CA_1,2011-04-20,6696.54
CA_1,2011-04-21,7665.06
CA_1,2011-04-22,9452.05
CA_1,2011-04-23,12226.64
CA_1,2011-04-24,8946.23
CA_1,2011-04-25,6845.18
CA_1,2011-04-26,6158.45
CA_1,2011-04-27,6000.03
CA_1,2011-04-28,6222.37
CA_1,2011-04-29,8190.37
CA_1,2011-04-30,10582.54
CA_1,2011-05-01,10369.27
CA_1,2011-05-02,8208.210000000001
CA_1,2011-05-03,8065.92
CA_1,2011-05-04,7386.85
CA_1,2011-05-05,6408.13
CA_1,2011-05-06,8817.63
CA_1,2011-05-07,10607.1
CA_1,2011-05-08,8997.65
CA_1,2011-05-09,9031.62
CA_1,2011-05-10,7746.52
CA_1,2011-05-11,7389.64
CA_1,2011-05-12,6365.48
CA_1,2011-05-13,8633.17
CA_1,2011-05-14,11066.05
CA_1,2011-05-15,11331.99
CA_1,2011-05-16,7376.92
CA_1,2011-05-17,6410.46
CA_1,2011-05-18,6305.24
CA_1,2011-05-19,6283.1
CA_1,2011-05-20,7712.63
CA_1,2011-05-21,9840.08
CA_1,2011-05-22,10275.18
CA_1,2011-05-23,7102.25
CA_1,2011-05-24,5967.01
CA_1,2011-05-25,6023.82
CA_1,2011-05-26,6476.9800000000005
CA_1,2011-05-27,7629.32
CA_1,2011-05-28,9389.62
CA_1,2011-05-29,9543.55
CA_1,2011-05-30,8698.94
CA_1,2011-05-31,6288.03
CA_1,2011-06-01,7615.88
CA_1,2011-06-02,7533.21
CA_1,2011-06-03,9376.68
CA_1,2011-06-04,11791.85
CA_1,2011-06-05,11363.81
CA_1,2011-06-06,9217.19
CA_1,2011-06-07,8093.26
CA_1,2011-06-08,7690.96
CA_1,2011-06-09,7537.13
CA_1,2011-06-10,9757.75
CA_1,2011-06-11,10387.86
CA_1,2011-06-12,10716.1
CA_1,2011-06-13,8943.69
CA_1,2011-06-14,7772.91
CA_1,2011-06-15,7439.2300000000005
CA_1,2011-06-16,7385.1
CA_1,2011-06-17,8718.8
CA_1,2011-06-18,10779.91
CA_1,2011-06-19,8746.64
CA_1,2011-06-20,7908.54
CA_1,2011-06-21,8014.56
CA_1,2011-06-22,6962.53
CA_1,2011-06-23,8014.77
CA_1,2011-06-24,8637.69
CA_1,2011-06-25,9331.62
CA_1,2011-06-26,10677.98
CA_1,2011-06-27,7976.21
CA_1,2011-06-28,6343.63
CA_1,2011-06-29,6444.22
CA_1,2011-06-30,7374.63
CA_1,2011-07-01,10873.94
CA_1,2011-07-02,11889.39
CA_1,2011-07-03,10798.74
CA_1,2011-07-04,7405.67
CA_1,2011-07-05,9043.65
CA_1,2011-07-06,9126.16
CA_1,2011-07-07,9310.35
CA_1,2011-07-08,9589.89
CA_1,2011-07-09,11858.95
CA_1,2011-07-10,12977.57
CA_1,2011-07-11,8344.87
CA_1,2011-07-12,6634.84
CA_1,2011-07-13,7438.39
CA_1,2011-07-14,7455.63
CA_1,2011-07-15,8581.960000000001
CA_1,2011-07-16,10705.14
CA_1,2011-07-17,11077.25
CA_1,2011-07-18,8274.61
CA_1,2011-07-19,6929.68
CA_1,2011-07-20,7072.9
CA_1,2011-07-21,7671.96
CA_1,2011-07-22,8964.03
CA_1,2011-07-23,10679.09
CA_1,2011-07-24,10604.67
CA_1,2011-07-25,8188.89
CA_1,2011-07-26,6779.46
CA_1,2011-07-27,6934.41
CA_1,2011-07-28,7125.14
CA_1,2011-07-29,8702.79
CA_1,2011-07-30,9046.15
CA_1,2011-07-31,10102.3
CA_1,2011-08-01,8416.95
CA_1,2011-08-02,8365.25
CA_1,2011-08-03,8469.28
CA_1,2011-08-04,8703.92
CA_1,2011-08-05,9877.53
CA_1,2011-08-06,10633.51
CA_1,2011-08-07,11778.28
CA_1,2011-08-08,9203.07
CA_1,2011-08-09,8035.14
CA_1,2011-08-10,8235.29
CA_1,2011-08-11,8079.72
CA_1,2011-08-12,9134.72
CA_1,2011-08-13,11899.55
CA_1,2011-08-14,11823.12
CA_1,2011-08-15,8241.47
CA_1,2011-08-16,7419.21
CA_1,2011-08-17,7406.22
CA_1,2011-08-18,7413.74
CA_1,2011-08-19,8305.12
CA_1,2011-08-20,10730.25
CA_1,2011-08-21,13176.9
CA_1,2011-08-22,7830.3
CA_1,2011-08-23,6717.61
CA_1,2011-08-24,6866.56
CA_1,2011-08-25,6952.91
CA_1,2011-08-26,8283.88
CA_1,2011-08-27,10671.16
CA_1,2011-08-28,10746.75
CA_1,2011-08-29,6790.31
CA_1,2011-08-30,5792.86
CA_1,2011-08-31,6393.03
CA_1,2011-09-01,7582.42
CA_1,2011-09-02,9349.8
CA_1,2011-09-03,11095.07
CA_1,2011-09-04,10261.58
CA_1,2011-09-05,9981.73
CA_1,2011-09-06,8497.81
CA_1,2011-09-07,7709.29
CA_1,2011-09-08,8236.06
CA_1,2011-09-09,9326.27
CA_1,2011-09-10,11409.36
CA_1,2011-09-11,12457.39
CA_1,2011-09-12,8341.74
CA_1,2011-09-13,6834.9400000000005
CA_1,2011-09-14,6071.7300000000005
CA_1,2011-09-15,7096.07
CA_1,2011-09-16,8525.73
CA_1,2011-09-17,10380.9
CA_1,2011-09-18,10898.880000000001
CA_1,2011-09-19,7704.8
CA_1,2011-09-20,7367.37
CA_1,2011-09-21,6662.51
CA_1,2011-09-22,6430.97
CA_1,2011-09-23,9518.08
CA_1,2011-09-24,11527.69
CA_1,2011-09-25,11565.130000000001
CA_1,2011-09-26,7916.47
CA_1,2011-09-27,6588.88
CA_1,2011-09-28,6517.36
CA_1,2011-09-29,6416.43
CA_1,2011-09-30,9357.87
CA_1,2011-10-01,13266.18
CA_1,2011-10-02,13317.31
CA_1,2011-10-03,8987.93
CA_1,2011-10-04,8491.23
CA_1,2011-10-05,7717.75
CA_1,2011-10-06,7575.92
CA_1,2011-10-07,9105.17
CA_1,2011-10-08,11632.83
CA_1,2011-10-09,12639.69
CA_1,2011-10-10,9612.13
CA_1,2011-10-11,7323.93
CA_1,2011-10-12,7102.47
CA_1,2011-10-13,7291.8
CA_1,2011-10-14,9100.93
CA_1,2011-10-15,11571.53
CA_1,2011-10-16,11706.41
CA_1,2011-10-17,7727.9800000000005
CA_1,2011-10-18,6560.76
CA_1,2011-10-19,6541.89
CA_1,2011-10-20,6742.14
CA_1,2011-10-21,8979.87
CA_1,2011-10-22,11038.3
CA_1,2011-10-23,11892.73
CA_1,2011-10-24,7798.74
CA_1,2011-10-25,6989.09
CA_1,2011-10-26,6332.88
CA_1,2011-10-27,7112.36
CA_1,2011-10-28,8261.57
CA_1,2011-10-29,11303.75
CA_1,2011-10-30,11523.02
CA_1,2011-10-31,6392.39
CA_1,2011-11-01,7199.55
CA_1,2011-11-02,7706.43
CA_1,2011-11-03,7970.35
CA_1,2011-11-04,9873.34
CA_1,2011-11-05,11986.12
CA_1,2011-11-06,12820.15
CA_1,2011-11-07,8751.74
CA_1,2011-11-08,8480.02
CA_1,2011-11-09,7316.83
CA_1,2011-11-10,8530.37
CA_1,2011-11-11,10220.07
CA_1,2011-11-12,10597.77
CA_1,2011-11-13,11094.71
CA_1,2011-11-14,7854.18
CA_1,2011-11-15,7290.63
CA_1,2011-11-16,6644.18
CA_1,2011-11-17,6381.6
CA_1,2011-11-18,7904.99
CA_1,2011-11-19,12209.77
CA_1,2011-11-20,11764.85
CA_1,2011-11-21,8990.76
CA_1,2011-11-22,9307.03
CA_1,2011-11-23,9256.130000000001
CA_1,2011-11-24,4813.66
CA_1,2011-11-25,7551.12
CA_1,2011-11-26,8263.93
CA_1,2011-11-27,8879.52
CA_1,2011-11-28,6856.87
CA_1,2011-11-29,6359.4800000000005
CA_1,2011-11-30,6161.96
CA_1,2011-12-01,6877.27
CA_1,2011-12-02,9036.57
CA_1,2011-12-03,12251.57
CA_1,2011-12-04,12771.19
CA_1,2011-12-05,9739.42
CA_1,2011-12-06,7803.32
CA_1,2011-12-07,7423.650000000001
CA_1,2011-12-08,8928.93
CA_1,2011-12-09,9261.86
CA_1,2011-12-10,12452.07
CA_1,2011-12-11,11484.51
CA_1,2011-12-12,8643.8
CA_1,2011-12-13,7803.05
CA_1,2011-12-14,7881.59
CA_1,2011-12-15,8541.31
CA_1,2011-12-16,9184.81
CA_1,2011-12-17,11665.2
CA_1,2011-12-18,11747.45
CA_1,2011-12-19,8910.66
CA_1,2011-12-20,8574.19
CA_1,2011-12-21,9050.15
CA_1,2011-12-22,9697.72
CA_1,2011-12-23,11730.17
CA_1,2011-12-24,8867.210000000001
CA_1,2011-12-25,0.0
CA_1,2011-12-26,8918.39
CA_1,2011-12-27,7924.89
CA_1,2011-12-28,8058.45
CA_1,2011-12-29,8840.94
CA_1,2011-12-30,11981.04
CA_1,2011-12-31,11171.960000000001
